class index,filepaths,labels,card type,data set
0,train/ace of clubs/069.jpg,ace of clubs,ace,train
0,train/ace of clubs/070.jpg,ace of clubs,ace,train
0,train/ace of clubs/071.jpg,ace of clubs,ace,train
0,train/ace of clubs/072.jpg,ace of clubs,ace,train
0,train/ace of clubs/073.jpg,ace of clubs,ace,train
0,train/ace of clubs/074.jpg,ace of clubs,ace,train
0,train/ace of clubs/075.jpg,ace of clubs,ace,train
0,train/ace of clubs/076.jpg,ace of clubs,ace,train
0,train/ace of clubs/077.jpg,ace of clubs,ace,train
0,train/ace of clubs/078.jpg,ace of clubs,ace,train
0,train/ace of clubs/079.jpg,ace of clubs,ace,train
0,train/ace of clubs/080.jpg,ace of clubs,ace,train
0,train/ace of clubs/081.jpg,ace of clubs,ace,train
0,train/ace of clubs/082.jpg,ace of clubs,ace,train
0,train/ace of clubs/083.jpg,ace of clubs,ace,train
0,train/ace of clubs/084.jpg,ace of clubs,ace,train
0,train/ace of clubs/085.jpg,ace of clubs,ace,train
0,train/ace of clubs/086.jpg,ace of clubs,ace,train
0,train/ace of clubs/087.jpg,ace of clubs,ace,train
0,train/ace of clubs/088.jpg,ace of clubs,ace,train
0,train/ace of clubs/089.jpg,ace of clubs,ace,train
0,train/ace of clubs/090.jpg,ace of clubs,ace,train
0,train/ace of clubs/091.jpg,ace of clubs,ace,train
0,train/ace of clubs/092.jpg,ace of clubs,ace,train
0,train/ace of clubs/093.jpg,ace of clubs,ace,train
0,train/ace of clubs/094.jpg,ace of clubs,ace,train
0,train/ace of clubs/095.jpg,ace of clubs,ace,train
0,train/ace of clubs/096.jpg,ace of clubs,ace,train
0,train/ace of clubs/097.jpg,ace of clubs,ace,train
0,train/ace of clubs/098.jpg,ace of clubs,ace,train
0,train/ace of clubs/099.jpg,ace of clubs,ace,train
0,train/ace of clubs/100.jpg,ace of clubs,ace,train
0,train/ace of clubs/101.jpg,ace of clubs,ace,train
0,train/ace of clubs/102.jpg,ace of clubs,ace,train
0,train/ace of clubs/103.jpg,ace of clubs,ace,train
0,train/ace of clubs/104.jpg,ace of clubs,ace,train
0,train/ace of clubs/105.jpg,ace of clubs,ace,train
0,train/ace of clubs/106.jpg,ace of clubs,ace,train
0,train/ace of clubs/107.jpg,ace of clubs,ace,train
0,train/ace of clubs/108.jpg,ace of clubs,ace,train
0,train/ace of clubs/109.jpg,ace of clubs,ace,train
0,train/ace of clubs/110.jpg,ace of clubs,ace,train
0,train/ace of clubs/111.jpg,ace of clubs,ace,train
0,train/ace of clubs/112.jpg,ace of clubs,ace,train
0,train/ace of clubs/113.jpg,ace of clubs,ace,train
0,train/ace of clubs/114.jpg,ace of clubs,ace,train
0,train/ace of clubs/115.jpg,ace of clubs,ace,train
0,train/ace of clubs/116.jpg,ace of clubs,ace,train
0,train/ace of clubs/117.jpg,ace of clubs,ace,train
0,train/ace of clubs/118.jpg,ace of clubs,ace,train
0,train/ace of clubs/119.jpg,ace of clubs,ace,train
0,train/ace of clubs/120.jpg,ace of clubs,ace,train
0,train/ace of clubs/output,ace of clubs,ace,train
1,train/ace of diamonds/001.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/002.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/003.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/004.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/005.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/006.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/007.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/008.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/009.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/010.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/011.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/012.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/013.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/014.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/015.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/016.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/017.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/018.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/019.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/020.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/021.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/022.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/023.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/024.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/025.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/026.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/027.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/028.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/029.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/030.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/031.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/032.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/033.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/034.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/035.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/036.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/037.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/038.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/039.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/040.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/041.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/042.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/043.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/044.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/045.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/046.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/047.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/048.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/049.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/050.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/051.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/052.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/053.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/054.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/055.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/056.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/057.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/058.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/059.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/060.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/061.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/062.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/063.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/064.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/065.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/066.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/067.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/068.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/069.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/070.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/071.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/072.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/073.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/074.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/075.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/076.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/077.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/078.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/079.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/080.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/081.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/082.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/083.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/084.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/085.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/086.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/087.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/088.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/089.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/090.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/091.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/092.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/093.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/094.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/095.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/096.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/097.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/098.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/099.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/100.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/101.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/102.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/103.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/104.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/105.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/106.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/107.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/108.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/109.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/110.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/111.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/112.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/113.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/114.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/115.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/116.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/117.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/118.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/119.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/120.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/121.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/122.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/123.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/124.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/125.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/126.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/127.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/128.jpg,ace of diamonds,ace,train
1,train/ace of diamonds/129.jpg,ace of diamonds,ace,train
2,train/ace of hearts/001.jpg,ace of hearts,ace,train
2,train/ace of hearts/002.jpg,ace of hearts,ace,train
2,train/ace of hearts/003.jpg,ace of hearts,ace,train
2,train/ace of hearts/004.jpg,ace of hearts,ace,train
2,train/ace of hearts/005.jpg,ace of hearts,ace,train
2,train/ace of hearts/006.jpg,ace of hearts,ace,train
2,train/ace of hearts/007.jpg,ace of hearts,ace,train
2,train/ace of hearts/008.jpg,ace of hearts,ace,train
2,train/ace of hearts/009.jpg,ace of hearts,ace,train
2,train/ace of hearts/010.jpg,ace of hearts,ace,train
2,train/ace of hearts/011.jpg,ace of hearts,ace,train
2,train/ace of hearts/012.jpg,ace of hearts,ace,train
2,train/ace of hearts/013.jpg,ace of hearts,ace,train
2,train/ace of hearts/014.jpg,ace of hearts,ace,train
2,train/ace of hearts/015.jpg,ace of hearts,ace,train
2,train/ace of hearts/016.jpg,ace of hearts,ace,train
2,train/ace of hearts/017.jpg,ace of hearts,ace,train
2,train/ace of hearts/018.jpg,ace of hearts,ace,train
2,train/ace of hearts/019.jpg,ace of hearts,ace,train
2,train/ace of hearts/020.jpg,ace of hearts,ace,train
2,train/ace of hearts/021.jpg,ace of hearts,ace,train
2,train/ace of hearts/022.jpg,ace of hearts,ace,train
2,train/ace of hearts/023.jpg,ace of hearts,ace,train
2,train/ace of hearts/024.jpg,ace of hearts,ace,train
2,train/ace of hearts/025.jpg,ace of hearts,ace,train
2,train/ace of hearts/026.jpg,ace of hearts,ace,train
2,train/ace of hearts/027.jpg,ace of hearts,ace,train
2,train/ace of hearts/028.jpg,ace of hearts,ace,train
2,train/ace of hearts/029.jpg,ace of hearts,ace,train
2,train/ace of hearts/030.jpg,ace of hearts,ace,train
2,train/ace of hearts/031.jpg,ace of hearts,ace,train
2,train/ace of hearts/032.jpg,ace of hearts,ace,train
2,train/ace of hearts/033.jpg,ace of hearts,ace,train
2,train/ace of hearts/034.jpg,ace of hearts,ace,train
2,train/ace of hearts/035.jpg,ace of hearts,ace,train
2,train/ace of hearts/036.jpg,ace of hearts,ace,train
2,train/ace of hearts/037.jpg,ace of hearts,ace,train
2,train/ace of hearts/038.jpg,ace of hearts,ace,train
2,train/ace of hearts/039.jpg,ace of hearts,ace,train
2,train/ace of hearts/040.jpg,ace of hearts,ace,train
2,train/ace of hearts/041.jpg,ace of hearts,ace,train
2,train/ace of hearts/042.jpg,ace of hearts,ace,train
2,train/ace of hearts/043.jpg,ace of hearts,ace,train
2,train/ace of hearts/044.jpg,ace of hearts,ace,train
2,train/ace of hearts/045.jpg,ace of hearts,ace,train
2,train/ace of hearts/046.jpg,ace of hearts,ace,train
2,train/ace of hearts/047.jpg,ace of hearts,ace,train
2,train/ace of hearts/048.jpg,ace of hearts,ace,train
2,train/ace of hearts/049.jpg,ace of hearts,ace,train
2,train/ace of hearts/050.jpg,ace of hearts,ace,train
2,train/ace of hearts/051.jpg,ace of hearts,ace,train
2,train/ace of hearts/052.jpg,ace of hearts,ace,train
2,train/ace of hearts/053.jpg,ace of hearts,ace,train
2,train/ace of hearts/054.jpg,ace of hearts,ace,train
2,train/ace of hearts/055.jpg,ace of hearts,ace,train
2,train/ace of hearts/056.jpg,ace of hearts,ace,train
2,train/ace of hearts/057.jpg,ace of hearts,ace,train
2,train/ace of hearts/058.jpg,ace of hearts,ace,train
2,train/ace of hearts/059.jpg,ace of hearts,ace,train
2,train/ace of hearts/060.jpg,ace of hearts,ace,train
2,train/ace of hearts/061.jpg,ace of hearts,ace,train
2,train/ace of hearts/062.jpg,ace of hearts,ace,train
2,train/ace of hearts/063.jpg,ace of hearts,ace,train
2,train/ace of hearts/064.jpg,ace of hearts,ace,train
2,train/ace of hearts/065.jpg,ace of hearts,ace,train
2,train/ace of hearts/066.jpg,ace of hearts,ace,train
2,train/ace of hearts/067.jpg,ace of hearts,ace,train
2,train/ace of hearts/068.jpg,ace of hearts,ace,train
2,train/ace of hearts/069.jpg,ace of hearts,ace,train
2,train/ace of hearts/070.jpg,ace of hearts,ace,train
2,train/ace of hearts/071.jpg,ace of hearts,ace,train
2,train/ace of hearts/072.jpg,ace of hearts,ace,train
2,train/ace of hearts/073.jpg,ace of hearts,ace,train
2,train/ace of hearts/074.jpg,ace of hearts,ace,train
2,train/ace of hearts/075.jpg,ace of hearts,ace,train
2,train/ace of hearts/076.jpg,ace of hearts,ace,train
2,train/ace of hearts/077.jpg,ace of hearts,ace,train
2,train/ace of hearts/078.jpg,ace of hearts,ace,train
2,train/ace of hearts/079.jpg,ace of hearts,ace,train
2,train/ace of hearts/080.jpg,ace of hearts,ace,train
2,train/ace of hearts/081.jpg,ace of hearts,ace,train
2,train/ace of hearts/082.jpg,ace of hearts,ace,train
2,train/ace of hearts/083.jpg,ace of hearts,ace,train
2,train/ace of hearts/084.jpg,ace of hearts,ace,train
2,train/ace of hearts/085.jpg,ace of hearts,ace,train
2,train/ace of hearts/086.jpg,ace of hearts,ace,train
2,train/ace of hearts/087.jpg,ace of hearts,ace,train
2,train/ace of hearts/088.jpg,ace of hearts,ace,train
2,train/ace of hearts/089.jpg,ace of hearts,ace,train
2,train/ace of hearts/090.jpg,ace of hearts,ace,train
2,train/ace of hearts/091.jpg,ace of hearts,ace,train
2,train/ace of hearts/092.jpg,ace of hearts,ace,train
2,train/ace of hearts/093.jpg,ace of hearts,ace,train
2,train/ace of hearts/094.jpg,ace of hearts,ace,train
2,train/ace of hearts/095.jpg,ace of hearts,ace,train
2,train/ace of hearts/096.jpg,ace of hearts,ace,train
2,train/ace of hearts/097.jpg,ace of hearts,ace,train
2,train/ace of hearts/098.jpg,ace of hearts,ace,train
2,train/ace of hearts/099.jpg,ace of hearts,ace,train
2,train/ace of hearts/100.jpg,ace of hearts,ace,train
2,train/ace of hearts/101.jpg,ace of hearts,ace,train
2,train/ace of hearts/102.jpg,ace of hearts,ace,train
2,train/ace of hearts/103.jpg,ace of hearts,ace,train
2,train/ace of hearts/104.jpg,ace of hearts,ace,train
2,train/ace of hearts/105.jpg,ace of hearts,ace,train
2,train/ace of hearts/106.jpg,ace of hearts,ace,train
2,train/ace of hearts/107.jpg,ace of hearts,ace,train
2,train/ace of hearts/108.jpg,ace of hearts,ace,train
2,train/ace of hearts/109.jpg,ace of hearts,ace,train
2,train/ace of hearts/110.jpg,ace of hearts,ace,train
2,train/ace of hearts/111.jpg,ace of hearts,ace,train
2,train/ace of hearts/112.jpg,ace of hearts,ace,train
2,train/ace of hearts/113.jpg,ace of hearts,ace,train
2,train/ace of hearts/114.jpg,ace of hearts,ace,train
2,train/ace of hearts/115.jpg,ace of hearts,ace,train
2,train/ace of hearts/116.jpg,ace of hearts,ace,train
2,train/ace of hearts/117.jpg,ace of hearts,ace,train
2,train/ace of hearts/118.jpg,ace of hearts,ace,train
2,train/ace of hearts/119.jpg,ace of hearts,ace,train
2,train/ace of hearts/120.jpg,ace of hearts,ace,train
2,train/ace of hearts/121.jpg,ace of hearts,ace,train
2,train/ace of hearts/122.jpg,ace of hearts,ace,train
2,train/ace of hearts/123.jpg,ace of hearts,ace,train
2,train/ace of hearts/124.jpg,ace of hearts,ace,train
2,train/ace of hearts/125.jpg,ace of hearts,ace,train
2,train/ace of hearts/126.jpg,ace of hearts,ace,train
2,train/ace of hearts/127.jpg,ace of hearts,ace,train
2,train/ace of hearts/128.jpg,ace of hearts,ace,train
2,train/ace of hearts/129.jpg,ace of hearts,ace,train
2,train/ace of hearts/130.jpg,ace of hearts,ace,train
2,train/ace of hearts/131.jpg,ace of hearts,ace,train
2,train/ace of hearts/132.jpg,ace of hearts,ace,train
2,train/ace of hearts/133.jpg,ace of hearts,ace,train
2,train/ace of hearts/134.jpg,ace of hearts,ace,train
2,train/ace of hearts/135.jpg,ace of hearts,ace,train
2,train/ace of hearts/136.jpg,ace of hearts,ace,train
2,train/ace of hearts/137.jpg,ace of hearts,ace,train
2,train/ace of hearts/138.jpg,ace of hearts,ace,train
2,train/ace of hearts/139.jpg,ace of hearts,ace,train
2,train/ace of hearts/140.jpg,ace of hearts,ace,train
2,train/ace of hearts/141.jpg,ace of hearts,ace,train
2,train/ace of hearts/142.jpg,ace of hearts,ace,train
2,train/ace of hearts/143.jpg,ace of hearts,ace,train
2,train/ace of hearts/144.jpg,ace of hearts,ace,train
2,train/ace of hearts/145.jpg,ace of hearts,ace,train
2,train/ace of hearts/146.jpg,ace of hearts,ace,train
2,train/ace of hearts/147.jpg,ace of hearts,ace,train
2,train/ace of hearts/148.jpg,ace of hearts,ace,train
2,train/ace of hearts/149.jpg,ace of hearts,ace,train
2,train/ace of hearts/150.jpg,ace of hearts,ace,train
2,train/ace of hearts/151.jpg,ace of hearts,ace,train
2,train/ace of hearts/152.jpg,ace of hearts,ace,train
2,train/ace of hearts/153.jpg,ace of hearts,ace,train
2,train/ace of hearts/154.jpg,ace of hearts,ace,train
2,train/ace of hearts/155.jpg,ace of hearts,ace,train
2,train/ace of hearts/156.jpg,ace of hearts,ace,train
2,train/ace of hearts/157.jpg,ace of hearts,ace,train
2,train/ace of hearts/158.jpg,ace of hearts,ace,train
2,train/ace of hearts/159.jpg,ace of hearts,ace,train
2,train/ace of hearts/160.jpg,ace of hearts,ace,train
2,train/ace of hearts/161.jpg,ace of hearts,ace,train
2,train/ace of hearts/162.jpg,ace of hearts,ace,train
2,train/ace of hearts/163.jpg,ace of hearts,ace,train
2,train/ace of hearts/164.jpg,ace of hearts,ace,train
2,train/ace of hearts/165.jpg,ace of hearts,ace,train
2,train/ace of hearts/166.jpg,ace of hearts,ace,train
2,train/ace of hearts/167.jpg,ace of hearts,ace,train
2,train/ace of hearts/168.jpg,ace of hearts,ace,train
2,train/ace of hearts/169.jpg,ace of hearts,ace,train
2,train/ace of hearts/170.jpg,ace of hearts,ace,train
2,train/ace of hearts/171.jpg,ace of hearts,ace,train
3,train/ace of spades/001.jpg,ace of spades,ace,train
3,train/ace of spades/002.jpg,ace of spades,ace,train
3,train/ace of spades/003.jpg,ace of spades,ace,train
3,train/ace of spades/004.jpg,ace of spades,ace,train
3,train/ace of spades/005.jpg,ace of spades,ace,train
3,train/ace of spades/006.jpg,ace of spades,ace,train
3,train/ace of spades/007.jpg,ace of spades,ace,train
3,train/ace of spades/008.jpg,ace of spades,ace,train
3,train/ace of spades/009.jpg,ace of spades,ace,train
3,train/ace of spades/010.jpg,ace of spades,ace,train
3,train/ace of spades/011.jpg,ace of spades,ace,train
3,train/ace of spades/012.jpg,ace of spades,ace,train
3,train/ace of spades/013.jpg,ace of spades,ace,train
3,train/ace of spades/014.jpg,ace of spades,ace,train
3,train/ace of spades/015.jpg,ace of spades,ace,train
3,train/ace of spades/016.jpg,ace of spades,ace,train
3,train/ace of spades/017.jpg,ace of spades,ace,train
3,train/ace of spades/018.jpg,ace of spades,ace,train
3,train/ace of spades/019.jpg,ace of spades,ace,train
3,train/ace of spades/020.jpg,ace of spades,ace,train
3,train/ace of spades/021.jpg,ace of spades,ace,train
3,train/ace of spades/022.jpg,ace of spades,ace,train
3,train/ace of spades/023.jpg,ace of spades,ace,train
3,train/ace of spades/024.jpg,ace of spades,ace,train
3,train/ace of spades/025.jpg,ace of spades,ace,train
3,train/ace of spades/026.jpg,ace of spades,ace,train
3,train/ace of spades/027.jpg,ace of spades,ace,train
3,train/ace of spades/028.jpg,ace of spades,ace,train
3,train/ace of spades/029.jpg,ace of spades,ace,train
3,train/ace of spades/030.jpg,ace of spades,ace,train
3,train/ace of spades/031.jpg,ace of spades,ace,train
3,train/ace of spades/032.jpg,ace of spades,ace,train
3,train/ace of spades/033.jpg,ace of spades,ace,train
3,train/ace of spades/034.jpg,ace of spades,ace,train
3,train/ace of spades/035.jpg,ace of spades,ace,train
3,train/ace of spades/036.jpg,ace of spades,ace,train
3,train/ace of spades/037.jpg,ace of spades,ace,train
3,train/ace of spades/038.jpg,ace of spades,ace,train
3,train/ace of spades/039.jpg,ace of spades,ace,train
3,train/ace of spades/040.jpg,ace of spades,ace,train
3,train/ace of spades/041.jpg,ace of spades,ace,train
3,train/ace of spades/042.jpg,ace of spades,ace,train
3,train/ace of spades/043.jpg,ace of spades,ace,train
3,train/ace of spades/044.jpg,ace of spades,ace,train
3,train/ace of spades/045.jpg,ace of spades,ace,train
3,train/ace of spades/046.jpg,ace of spades,ace,train
3,train/ace of spades/047.jpg,ace of spades,ace,train
3,train/ace of spades/048.jpg,ace of spades,ace,train
3,train/ace of spades/049.jpg,ace of spades,ace,train
3,train/ace of spades/050.jpg,ace of spades,ace,train
3,train/ace of spades/051.jpg,ace of spades,ace,train
3,train/ace of spades/052.jpg,ace of spades,ace,train
3,train/ace of spades/053.jpg,ace of spades,ace,train
3,train/ace of spades/054.jpg,ace of spades,ace,train
3,train/ace of spades/055.jpg,ace of spades,ace,train
